Age,Gender,Education Level,Job Title,Years of Experience,Salary
36,0,1,Sales Manager,9,95000.0
27,1,2,UX Researcher,2,65000.0
43,0,3,Senior Engineer,17,140000.0
30,1,1,Social Media Manager,4,55000.0
35,0,2,Product Manager,7,105000.0
51,1,2,Director of Operations,23,170000.0
29,0,1,Marketing Analyst,3,50000.0
40,1,1,HR Manager,12,80000.0
47,0,3,Senior Data Scientist,21,180000.0
26,0,1,Junior Accountant,1,35000.0
38,1,2,Digital Marketing Manager,10,90000.0
46,0,1,IT Manager,19,120000.0
31,1,1,Customer Service Representative,5,45000.0
34,0,2,Business Development Manager,8,90000.0
49,1,2,Senior Financial Analyst,18,150000.0
33,0,1,Web Developer,6,65000.0
39,1,1,Recruiter,11,70000.0
45,0,3,Research Director,16,190000.0
28,0,1,Technical Support Specialist,2,40000.0
42,1,2,Creative Director,14,120000.0
37,0,1,Project Manager,10,95000.0
50,1,1,Operations Manager,22,160000.0
32,0,2,Senior Software Engineer,6,100000.0
48,1,2,Human Resources Director,20,180000.0
30,1,1,Content Marketing Manager,3,55000.0
36,0,1,Technical Recruiter,8,70000.0
41,1,2,Data Analyst,13,80000.0
25,0,1,Sales Representative,0,30000.0
52,0,3,Chief Technology Officer,24,250000.0
29,1,1,Junior Designer,2,40000.0
34,1,2,Financial Advisor,10,95000.0
27,0,1,Junior Account Manager,2,45000.0
40,1,1,HR Generalist,15,80000.0
46,0,2,Senior Project Manager,21,135000.0
31,1,1,Marketing Coordinator,6,55000.0
36,0,3,Principal Scientist,11,120000.0
29,1,1,Sales Associate,3,40000.0
43,0,1,Supply Chain Manager,18,105000.0
52,1,2,Senior Marketing Manager,25,170000.0
33,0,1,Business Analyst,7,75000.0
39,1,1,Training Specialist,12,65000.0
47,0,3,Research Scientist,22,160000.0
26,0,1,Junior Software Developer,1,35000.0
38,1,2,Public Relations Manager,10,90000.0
45,0,1,Operations Analyst,20,110000.0
31,1,1,Event Coordinator,5,45000.0
35,0,2,Product Marketing Manager,8,95000.0
49,1,2,Senior HR Manager,19,150000.0
33,0,1,Junior Web Developer,5,50000.0
39,1,2,Senior Project Coordinator,13,80000.0
44,0,3,Chief Data Officer,16,220000.0
30,1,1,Digital Content Producer,3,50000.0
36,0,1,IT Support Specialist,7,60000.0
41,1,2,Senior Marketing Analyst,14,100000.0
28,0,1,Customer Success Manager,2,40000.0
42,1,2,Senior Graphic Designer,15,110000.0
37,0,1,Software Project Manager,9,95000.0
50,1,1,Supply Chain Analyst,22,130000.0
32,0,2,Senior Business Analyst,6,90000.0
23,1,1,Junior Marketing Analyst,0,35000.0
31,0,2,Senior Financial Analyst,6,95000.0
40,1,1,Office Manager,15,65000.0
48,0,3,Principal Engineer,20,170000.0
29,1,1,Junior HR Generalist,3,45000.0
35,0,2,Senior Product Manager,10,120000.0
42,1,1,Sales Manager,17,100000.0
53,0,2,Director of Marketing,25,180000.0
33,1,1,Junior Operations Analyst,5,50000.0
38,0,1,Customer Service Manager,11,80000.0
44,1,3,Senior Scientist,16,140000.0
26,0,1,Junior Accountant,2,40000.0
37,1,2,Senior HR Generalist,9,95000.0
45,0,1,Sales Operations Manager,18,110000.0
32,1,1,Marketing Coordinator,4,50000.0
34,0,2,Senior Software Developer,8,105000.0
50,1,2,Director of Operations,21,160000.0
29,0,1,Junior Web Designer,3,45000.0
40,1,2,Senior Training Specialist,12,100000.0
47,0,3,Senior Research Scientist,22,160000.0
27,0,1,Junior Sales Representative,1,35000.0
39,1,1,Administrative Assistant,10,55000.0
46,0,2,Senior Project Manager,19,140000.0
30,1,1,Junior Marketing Manager,4,50000.0
36,0,1,Junior Data Analyst,7,60000.0
43,1,2,Senior Product Marketing Manager,14,120000.0
28,0,1,Junior Business Analyst,2,40000.0
41,1,2,Senior Marketing Manager,13,110000.0
33,0,1,Junior Software Developer,5,50000.0
47,0,1,Senior Sales Manager,20,135000.0
25,1,2,Junior Marketing Specialist,1,40000.0
34,0,1,Senior Business Analyst,8,90000.0
42,1,3,Senior Data Scientist,16,150000.0
31,0,1,Junior Project Manager,4,60000.0
38,1,1,Senior Accountant,10,80000.0
45,0,2,Director of Sales,19,175000.0
29,1,1,Junior Recruiter,3,45000.0
36,0,2,Senior Business Development Manager,11,120000.0
43,1,3,Senior Product Designer,18,140000.0
26,0,1,Junior Customer Support Specialist,2,35000.0
37,1,2,Senior Marketing Analyst,9,95000.0
44,0,1,Senior IT Support Specialist,14,110000.0
32,1,1,Junior Financial Analyst,5,50000.0
33,0,2,Senior Operations Manager,7,115000.0
51,1,3,Director of Human Resources,23,185000.0
28,0,1,Junior Software Engineer,2,40000.0
39,1,1,Senior Sales Representative,12,90000.0
48,0,2,Director of Product Management,21,175000.0
30,1,1,Junior Copywriter,3,45000.0
35,0,1,Senior Marketing Coordinator,7,80000.0
41,1,2,Senior Human Resources Manager,13,120000.0
27,0,1,Junior Business Development Associate,1,35000.0
40,1,1,Senior Account Manager,14,110000.0
46,0,3,Senior Researcher,18,150000.0
31,1,1,Junior HR Coordinator,4,50000.0
34,0,2,Senior Software Engineer,9,105000.0
50,1,2,Director of Finance,20,180000.0
29,0,1,Junior Marketing Coordinator,2,40000.0
43,0,1,Senior Project Manager,16,140000.0
26,1,2,Junior Data Scientist,1,45000.0
35,0,1,Senior Operations Analyst,7,85000.0
42,1,3,Senior Marketing Manager,18,140000.0
31,0,1,Junior Accountant,4,50000.0
38,1,1,Senior Human Resources Coordinator,10,80000.0
46,0,2,Director of Operations,20,170000.0
29,1,1,Junior Sales Representative,2,40000.0
37,0,2,Senior Business Analyst,9,105000.0
44,1,3,Senior UX Designer,15,145000.0
27,0,1,Junior Product Manager,2,40000.0
36,1,1,Senior Marketing Specialist,8,85000.0
43,0,1,Senior IT Project Manager,14,130000.0
33,1,2,Senior Financial Analyst,6,95000.0
34,0,1,Senior Quality Assurance Analyst,9,100000.0
50,1,3,Director of Sales and Marketing,22,180000.0
28,0,1,Junior Operations Analyst,1,35000.0
39,1,1,Senior Account Executive,12,95000.0
47,0,2,Director of Business Development,19,170000.0
30,1,1,Junior Social Media Manager,3,45000.0
34,0,1,Senior Product Manager,7,95000.0
40,1,2,Senior Human Resources Specialist,13,120000.0
28,0,1,Junior Business Analyst,2,40000.0
41,1,1,Senior Marketing Coordinator,11,90000.0
45,0,3,Senior Data Analyst,17,155000.0
32,1,1,Junior Account Manager,5,55000.0
35,0,2,Senior Software Developer,9,110000.0
49,1,2,Director of Human Capital,21,180000.0
30,0,1,Junior Advertising Coordinator,3,45000.0
44,0,1,Senior Sales Manager,16,130000.0
27,1,2,Junior UX Designer,1,45000.0
36,0,1,Senior Accountant,7,90000.0
41,1,3,Senior Marketing Director,17,160000.0
31,0,1,Junior HR Generalist,4,50000.0
39,1,1,Senior Operations Manager,10,120000.0
47,0,2,Director of Finance,20,170000.0
30,1,1,Junior Marketing Coordinator,2,40000.0
38,0,2,Senior IT Consultant,9,110000.0
45,1,3,Senior Product Designer,15,150000.0
28,0,1,Junior Business Development Associate,2,40000.0
35,1,1,Senior Marketing Analyst,8,85000.0
44,0,1,Senior Software Engineer,14,130000.0
34,1,2,Senior Financial Advisor,6,100000.0
35,0,1,Senior Project Coordinator,9,95000.0
50,1,3,Director of Operations,22,180000.0
29,0,1,Junior Business Operations Analyst,1,35000.0
40,1,1,Senior Sales Representative,12,100000.0
48,0,2,Director of Marketing,19,170000.0
31,1,1,Junior Social Media Specialist,3,45000.0
33,0,1,Senior Product Development Manager,7,100000.0
42,1,2,Senior Human Resources Manager,13,140000.0
28,0,1,Junior Financial Analyst,2,40000.0
40,1,1,Senior Marketing Manager,11,105000.0
46,0,3,Senior Data Scientist,18,160000.0
33,1,1,Junior Operations Manager,5,70000.0
37,0,2,Senior Software Architect,9,120000.0
51,1,2,Director of Human Resources,21,190000.0
30,0,1,Junior Marketing Specialist,3,45000.0
43,0,1,Senior Project Manager,15,120000.0
27,1,2,Junior Research Scientist,1,50000.0
35,0,1,Senior Operations Analyst,8,85000.0
42,1,3,Senior Marketing Manager,13,140000.0
32,0,1,Junior Sales Representative,3,45000.0
37,1,1,Senior Financial Analyst,9,100000.0
45,0,2,Senior Software Developer,16,140000.0
33,1,1,Junior Operations Analyst,5,70000.0
39,0,1,Senior Marketing Specialist,10,120000.0
44,1,3,Senior HR Manager,18,160000.0
29,0,1,Junior Business Analyst,1,40000.0
38,1,1,Senior Product Manager,10,120000.0
46,0,3,Senior Data Analyst,19,150000.0
34,1,1,Junior Marketing Analyst,6,70000.0
36,0,1,Senior Operations Manager,8,95000.0
49,1,2,Director of Marketing,21,180000.0
31,0,1,Junior Financial Analyst,3,50000.0
41,1,1,Senior Project Coordinator,11,95000.0
47,0,2,Director of Operations,20,170000.0
30,1,1,Junior Marketing Coordinator,2,40000.0
38,0,2,Senior IT Consultant,9,110000.0
45,1,3,Senior Product Designer,15,150000.0
28,0,1,Junior Business Development Associate,2,40000.0
35,1,1,Senior Marketing Analyst,8,85000.0
44,0,1,Senior Software Engineer,14,130000.0
34,1,2,Senior Financial Advisor,6,100000.0
35,0,1,Senior Project Coordinator,9,95000.0
50,1,3,Director of Operations,22,180000.0
29,0,1,Junior Business Operations Analyst,1,350.0
37,1,1,Senior Financial Manager,10,120000.0
46,0,3,Senior Data Scientist,18,160000.0
31,1,1,Junior Marketing Coordinator,3,50000.0
42,0,1,Senior Operations Manager,12,110000.0
29,1,1,Junior Sales Representative,1,40000.0
36,0,1,Senior Marketing Specialist,8,95000.0
44,1,2,Senior HR Specialist,15,140000.0
33,0,1,Junior Operations Manager,4,60000.0
39,1,1,Senior Marketing Coordinator,9,110000.0
45,0,3,Senior Data Engineer,16,150000.0
32,1,1,Junior Marketing Manager,4,60000.0
37,0,1,Senior Financial Analyst,8,90000.0
47,1,2,Director of Marketing,20,180000.0
30,0,1,Junior Business Analyst,2,40000.0
38,1,1,Senior Project Manager,9,120000.0
46,0,3,Senior Data Analyst,17,160000.0
34,1,1,Junior Financial Analyst,5,70000.0
36,0,1,Senior Product Manager,8,95000.0
49,1,2,Director of Operations,21,180000.0
31,0,1,Junior Operations Analyst,3,50000.0
41,1,1,Senior Project Coordinator,11,95000.0
47,0,2,Director of Marketing,19,170000.0
29,1,1,Junior Business Development Associate,1,35000.0
35,0,1,Senior Financial Manager,9,100000.0
44,1,3,Senior Product Designer,15,150000.0
33,0,1,Junior Business Analyst,4,60000.0
35,1,1,Senior Marketing Analyst,8,85000.0
44,0,1,Senior Software Engineer,13,130000.0
32,0,1,Junior Product Manager,4,65000.0
38,1,1,Senior Business Analyst,10,110000.0
49,0,3,Director of Operations,21,180000.0
29,1,1,Junior Marketing Specialist,2,40000.0
35,0,1,Senior Business Development Manager,7,90000.0
45,1,2,Senior HR Manager,14,140000.0
33,0,1,Junior Financial Analyst,4,60000.0
40,1,1,Senior Marketing Manager,12,130000.0
44,0,3,Senior Data Scientist,16,160000.0
30,1,1,Junior Operations Coordinator,2,40000.0
37,0,1,Senior Marketing Analyst,9,100000.0
48,1,2,Director of HR,20,180000.0
31,0,1,Junior Project Manager,3,55000.0
38,1,1,Senior Operations Coordinator,9,120000.0
45,0,3,Senior Data Engineer,16,150000.0
33,1,1,Junior Marketing Manager,5,70000.0
36,0,1,Senior Business Analyst,8,95000.0
49,1,2,Director of Marketing,21,180000.0
31,0,1,Junior Operations Analyst,3,50000.0
42,1,1,Senior Project Manager,12,120000.0
47,0,2,Director of Marketing,19,170000.0
29,1,1,Junior Business Development Associate,1,35000.0
35,0,1,Senior Financial Manager,9,100000.0
44,1,3,Senior Product Designer,15,150000.0
33,0,1,Junior Business Analyst,4,60000.0
35,1,1,Senior Marketing Analyst,8,85000.0
44,0,1,Senior Software Engineer,13,130000.0
34,1,2,Senior Financial Advisor,6,80000.0
36,0,1,Senior Marketing Specialist,8,95000.0
30,1,1,Junior HR Coordinator,2,40000.0
37,0,1,Senior Business Development Manager,10,120000.0
45,1,2,Senior Marketing Manager,16,160000.0
32,0,1,Junior Financial Advisor,4,65000.0
39,1,1,Senior Project Manager,12,130000.0
47,0,3,Director of Engineering,20,180000.0
29,1,1,Junior Marketing Analyst,2,40000.0
36,0,1,Senior Operations Manager,9,100000.0
43,1,3,Senior Data Scientist,15,150000.0
32,0,1,Junior Marketing Coordinator,3,55000.0
38,1,1,Senior Business Analyst,10,110000.0
48,0,2,Director of Marketing,21,180000.0
31,1,1,Junior Business Development Associate,3,50000.0
40,0,1,Senior Financial Analyst,12,130000.0
45,1,3,Senior UX Designer,16,160000.0
33,0,1,Junior Product Manager,4,60000.0
36,1,1,Senior Marketing Manager,8,95000.0
47,0,2,Director of Operations,19,170000.0
29,1,1,Junior Project Manager,2,40000.0
34,0,1,Senior Operations Coordinator,7,90000.0
44,1,3,Senior Business Analyst,15,150000.0
33,0,1,Junior Marketing Specialist,5,70000.0
35,1,1,Senior Financial Manager,8,90000.0
43,0,2,Director of Marketing,18,170000.0
31,1,1,Junior Financial Analyst,3,50000.0
41,0,1,Senior Product Manager,14,150000.0
44,1,3,Senior Data Engineer,16,160000.0
33,0,1,Junior Business Analyst,4,60000.0
35,1,1,Senior Marketing Analyst,8,85000.0
45,0,2,Director of Engineering,19,180000.0
28,1,1,Junior Operations Manager,1,35000.0
36,0,1,Senior Business Development Manager,8,110000.0
44,1,3,Senior Data Scientist,16,160000.0
31,0,1,Junior Marketing Coordinator,3,55000.0
38,1,1,Senior Business Analyst,10,110000.0
48,0,2,Director of Marketing,21,180000.0
31,1,1,Junior Business Development Associate,3,50000.0
40,0,1,Senior Financial Analyst,12,130000.0
45,1,3,Senior UX Designer,16,160000.0
33,0,1,Junior Product Manager,4,60000.0
36,1,1,Senior Marketing Manager,8,95000.0
47,0,2,Director of Operations,19,170000.0
29,1,1,Junior Project Manager,2,40000.0
34,0,1,Senior Operations Coordinator,7,90000.0
44,1,3,Senior Business Analyst,15,150000.0
33,0,1,Junior Marketing Specialist,5,70000.0
35,1,1,Senior Financial Manager,8,90000.0
43,0,2,Director of Marketing,18,170000.0
31,1,1,Junior Financial Analyst,3,50000.0
41,0,1,Senior Product Manager,14,150000.0
44,1,3,Senior Data Engineer,16,160000.0
33,0,1,Junior Business Analyst,4,60000.0
35,1,1,Senior Marketing Analyst,8,85000.0
43,0,2,Director of Operations,19,170000.0
29,1,1,Junior Project Manager,2,40000.0
34,0,1,Senior Operations Coordinator,7,90000.0
44,1,3,Senior Business Analyst,15,150000.0
31,0,2,Data Scientist,6,160000.0
28,1,1,Software Engineer,3,125000.0
26,0,2,Product Manager,2,120000.0
27,1,1,Data Analyst,2,110000.0
30,0,3,Data Scientist,5,180000.0
29,1,1,Software Engineer,4,140000.0
32,0,1,Product Manager,7,170000.0
25,1,2,Data Analyst,1,100000.0
33,0,3,Data Scientist,8,190000.0
31,1,1,Software Engineer,6,155000.0
28,0,2,Product Manager,3,130000.0
30,1,1,Data Analyst,5,145000.0
27,0,3,Data Scientist,2,115000.0
29,1,1,Software Engineer,4,140000.0
34,0,1,Product Manager,9,185000.0
25,1,2,Data Analyst,1,100000.0
33,0,3,Data Scientist,8,190000.0
31,1,1,Software Engineer,6,155000.0
28,0,2,Product Manager,3,130000.0
30,1,1,Data Analyst,5,145000.0
28,0,1,Software Engineer,3,125000.0
26,1,2,Product Manager,2,120000.0
27,0,1,Data Analyst,2,110000.0
30,1,3,Data Scientist,5,180000.0
29,0,1,Software Engineer,4,140000.0
32,0,1,Product Manager,7,170000.0
25,1,2,Data Analyst,1,100000.0
33,0,3,Data Scientist,8,190000.0
31,1,1,Software Engineer,6,155000.0
28,0,2,Product Manager,3,130000.0
30,1,1,Data Analyst,5,145000.0
27,0,3,Data Scientist,2,115000.0
29,1,1,Software Engineer,4,140000.0
34,0,1,Product Manager,9,185000.0
25,1,2,Data Analyst,1,100000.0
33,0,3,Data Scientist,8,190000.0
31,1,1,Software Engineer,6,155000.0
28,0,2,Product Manager,3,130000.0
30,1,1,Data Analyst,5,145000.0
28,0,1,Software Engineer,3,125000.0
26,1,2,Product Manager,2,120000.0
27,0,1,Data Analyst,2,110000.0
30,1,3,Data Scientist,5,180000.0
29,0,1,Software Engineer,4,140000.0
32,0,1,Product Manager,7,170000.0
25,1,2,Data Analyst,1,100000.0
33,0,3,Data Scientist,8,190000.0
31,1,1,Software Engineer,6,155000.0
28,0,2,Product Manager,3,130000.0
30,1,1,Data Analyst,5,145000.0
27,0,3,Data Scientist,2,115000.0
29,1,1,Software Engineer,4,140000.0
34,0,1,Product Manager,9,185000.0
25,1,2,Data Analyst,1,100000.0
33,0,3,Data Scientist,8,190000.0
31,1,1,Software Engineer,6,155000.0
28,0,2,Product Manager,3,130000.0
30,1,1,Data Analyst,5,145000.0
28,0,1,Software Engineer,3,125000.0
26,1,2,Product Manager,2,120000.0
27,0,1,Data Analyst,2,110000.0
30,1,3,Data Scientist,5,180000.0
29,0,1,Software Engineer,4,140000.0
32,0,1,Product Manager,7,170000.0
25,1,2,Data Analyst,1,100000.0
33,0,3,Data Scientist,8,190000.0
31,1,1,Software Engineer,6,155000.0
28,0,2,Product Manager,3,130000.0
30,1,1,Data Analyst,5,145000.0
27,0,3,Data Scientist,2,115000.0
29,1,1,Software Engineer,4,140000.0
34,0,1,Product Manager,9,185000.0
25,1,2,Data Analyst,1,100000.0
33,0,3,Data Scientist,8,190000.0
31,1,1,Software Engineer,6,155000.0
28,0,2,Product Manager,3,130000.0
30,1,1,Data Analyst,5,145000.0
27,0,3,Data Scientist,2,115000.0
29,1,1,Software Engineer,4,140000.0
34,0,1,Product Manager,9,185000.0
25,1,2,Data Analyst,1,100000.0
33,0,3,Data Scientist,8,190000.0
31,1,1,Software Engineer,6,155000.0
28,0,2,Product Manager,3,130000.0
30,1,1,Data Analyst,5,145000.0
28,0,1,Software Engineer,3,125000.0
26,1,2,Product Manager,2,120000.0
27,0,1,Data Analyst,2,110000.0
30,1,3,Data Scientist,5,180000.0
29,0,1,Software Engineer,4,140000.0
32,0,1,Product Manager,7,170000.0
25,1,2,Data Analyst,1,100000.0
33,0,3,Data Scientist,8,190000.0
31,1,1,Software Engineer,6,155000.0
28,0,2,Product Manager,3,130000.0
30,1,1,Data Analyst,5,145000.0
27,0,3,Data Scientist,2,115000.0
29,1,1,Software Engineer,4,140000.0
34,0,1,Product Manager,9,185000.0
25,1,2,Data Analyst,1,100000.0
33,0,3,Data Scientist,8,190000.0
31,1,1,Software Engineer,6,155000.0
28,0,2,Product Manager,3,130000.0
30,1,1,Data Analyst,5,145000.0
27,0,3,Data Scientist,2,115000.0
29,1,1,Software Engineer,4,140000.0
34,0,1,Product Manager,9,185000.0
25,1,2,Data Analyst,1,100000.0
33,0,3,Data Scientist,8,190000.0
31,1,1,Software Engineer,6,155000.0
28,0,2,Product Manager,3,130000.0
30,1,1,Data Analyst,5,145000.0
27,0,3,Data Scientist,2,115000.0
29,1,1,Software Engineer,4,140000.0
34,0,1,Product Manager,9,185000.0
25,1,2,Data Analyst,1,100000.0
33,0,3,Data Scientist,8,190000.0
31,1,1,Software Engineer,6,155000.0
28,0,2,Product Manager,3,130000.0
30,1,1,Data Analyst,5,145000.0
27,0,3,Data Scientist,2,115000.0
29,1,1,Software Engineer,4,140000.0
34,0,1,Product Manager,9,185000.0
25,1,2,Data Analyst,1,100000.0
33,0,3,Data Scientist,8,190000.0
31,1,1,Software Engineer,6,155000.0
28,0,2,Product Manager,3,130000.0
30,1,1,Data Analyst,5,145000.0
27,0,3,Data Scientist,2,115000.0
29,1,1,Software Engineer,4,140000.0
34,0,1,Product Manager,9,185000.0
26,0,1,Data Analyst,3,130000.0
29,1,2,Data Scientist,6,180000.0
32,0,1,Software Engineer,8,190000.0
27,1,1,Product Manager,4,150000.0
24,0,1,Data Analyst,1,90000.0
31,1,2,Data Scientist,9,195000.0
28,0,1,Software Engineer,5,160000.0
33,1,2,Product Manager,11,198000.0
25,0,1,Data Analyst,2,110000.0
30,1,3,Data Scientist,7,185000.0
27,0,1,Software Engineer,4,140000.0
34,1,2,Product Manager,12,196000.0
23,0,1,Data Analyst,1,95000.0
32,1,3,Data Scientist,10,193000.0
29,0,1,Software Engineer,6,175000.0
30,1,1,Product Manager,5,160000.0
26,0,1,Data Analyst,3,130000.0
31,1,2,Data Scientist,6,180000.0
28,0,1,Software Engineer,5,160000.0
33,1,2,Product Manager,11,198000.0
24,0,1,Data Analyst,1,90000.0
30,1,3,Data Scientist,7,185000.0
27,0,1,Software Engineer,4,140000.0
34,1,2,Product Manager,12,196000.0
25,0,1,Data Analyst,2,110000.0
29,1,2,Data Scientist,6,180000.0
32,0,1,Software Engineer,8,190000.0
27,1,1,Product Manager,4,150000.0
31,0,1,Data Analyst,9,195000.0
28,1,1,Software Engineer,5,160000.0
33,0,2,Product Manager,11,198000.0
26,1,1,Data Analyst,3,130000.0
30,0,3,Data Scientist,7,185000.0
27,1,1,Software Engineer,4,140000.0
34,0,2,Product Manager,12,196000.0
25,1,1,Data Analyst,2,110000.0
32,0,1,Software Engineer,8,190000.0
29,1,2,Data Scientist,6,180000.0
30,0,1,Data Analyst,5,160000.0
33,1,2,Product Manager,11,198000.0
24,0,1,Data Analyst,1,90000.0
31,1,3,Data Scientist,9,195000.0
28,0,1,Software Engineer,5,160000.0
27,1,1,Product Manager,4,150000.0
26,0,1,Data Analyst,3,130000.0
29,1,2,Data Scientist,6,180000.0
32,0,1,Software Engineer,8,190000.0
33,1,2,Product Manager,11,198000.0
25,0,1,Data Analyst,2,110000.0
30,1,3,Data Scientist,7,185000.0
27,0,1,Software Engineer,4,140000.0
34,1,2,Product Manager,12,196000.0
31,0,1,Data Analyst,9,195000.0
28,1,1,Software Engineer,5,160000.0
26,0,1,Data Analyst,3,130000.0
29,1,2,Data Scientist,6,180000.0
32,0,1,Software Engineer,8,190000.0
33,1,2,Product Manager,11,198000.0
24,0,1,Data Analyst,1,90000.0
27,0,1,Software Engineer,4,140000.0
25,1,1,Data Analyst,2,110000.0
30,1,3,Data Scientist,7,185000.0
31,0,1,Data Analyst,9,195000.0
28,1,1,Software Engineer,5,160000.0
26,0,1,Data Analyst,3,130000.0
29,1,2,Data Scientist,6,180000.0
32,0,1,Software Engineer,8,190000.0
33,1,2,Product Manager,11,198000.0
24,0,1,Data Analyst,1,90000.0
27,0,1,Software Engineer,4,140000.0
25,1,1,Data Analyst,2,110000.0
30,1,3,Data Scientist,7,185000.0
31,0,1,Data Analyst,9,195000.0
28,1,1,Software Engineer,5,160000.0
26,0,1,Data Analyst,3,130000.0
29,1,2,Data Scientist,6,180000.0
32,0,1,Software Engineer,8,190000.0
33,1,2,Product Manager,11,198000.0
24,0,1,Data Analyst,1,90000.0
27,0,1,Software Engineer,4,140000.0
25,1,1,Data Analyst,2,110000.0
30,1,3,Data Scientist,7,185000.0
31,0,1,Data Analyst,9,195000.0
28,1,1,Software Engineer,5,160000.0
26,0,1,Data Analyst,3,130000.0
29,1,2,Data Scientist,6,180000.0
32,0,1,Software Engineer,8,190000.0
33,1,2,Product Manager,11,198000.0
24,0,1,Data Analyst,1,90000.0
27,0,1,Software Engineer,4,140000.0
25,0,1,Data Analyst,2,125000.0
28,1,2,Data Scientist,6,175000.0
30,0,1,Software Engineer,8,190000.0
27,1,1,Product Manager,4,150000.0
24,0,1,Data Analyst,1,95000.0
31,0,2,Data Scientist,9,195000.0
28,0,1,Software Engineer,5,160000.0
33,1,2,Product Manager,11,198000.0
26,0,1,Data Analyst,3,130000.0
30,1,3,Data Scientist,7,185000.0
27,0,1,Software Engineer,4,140000.0
34,1,2,Product Manager,12,196000.0
23,0,1,Data Analyst,1,90000.0
32,1,3,Data Scientist,10,193000.0
29,0,1,Software Engineer,6,170000.0
30,1,1,Product Manager,5,160000.0
26,0,1,Data Analyst,3,135000.0
31,1,2,Data Scientist,6,180000.0
28,0,1,Software Engineer,5,160000.0
33,1,2,Product Manager,11,198000.0
24,0,1,Data Analyst,1,90000.0
30,1,3,Data Scientist,7,185000.0
27,0,1,Software Engineer,4,140000.0
34,1,2,Product Manager,12,196000.0
25,0,1,Data Analyst,2,115000.0
29,1,2,Data Scientist,6,180000.0
32,0,1,Software Engineer,8,190000.0
27,1,1,Product Manager,4,150000.0
31,0,1,Data Analyst,9,195000.0
28,1,1,Software Engineer,5,160000.0
33,0,2,Product Manager,11,198000.0
26,1,1,Data Analyst,3,130000.0
30,0,3,Data Scientist,7,185000.0
27,1,1,Software Engineer,4,140000.0
34,0,2,Product Manager,12,196000.0
25,1,1,Data Analyst,2,110000.0
32,0,1,Software Engineer,8,190000.0
29,1,2,Data Scientist,6,180000.0
30,0,1,Data Analyst,5,160000.0
33,1,2,Product Manager,11,198000.0
24,0,1,Data Analyst,1,90000.0
31,1,3,Data Scientist,9,195000.0
28,0,1,Software Engineer,5,160000.0
27,1,1,Product Manager,4,150000.0
26,0,1,Data Analyst,3,130000.0
29,1,2,Data Scientist,6,180000.0
32,0,1,Software Engineer,8,190000.0
33,1,2,Product Manager,11,198000.0
25,0,1,Data Analyst,2,110000.0
30,1,3,Data Scientist,7,185000.0
27,0,1,Software Engineer,4,140000.0
34,1,2,Product Manager,12,196000.0
31,0,1,Data Analyst,9,195000.0
28,1,1,Software Engineer,5,160000.0
26,0,1,Data Analyst,3,130000.0
29,1,2,Data Scientist,6,180000.0
32,0,1,Software Engineer,8,190000.0
33,1,2,Product Manager,11,198000.0
24,0,1,Data Analyst,1,90000.0
27,0,1,Software Engineer,4,140000.0
25,1,1,Data Analyst,2,110000.0
